,Unnamed: 0,pitch_type,game_date,player_name,events,description,des,game_type,stand,p_throws,home_team,away_team,type,bb_type,inning_topbot,pitch_name
204,204,FC,2024-09-29,"Pérez, Martín",field_out,hit_into_play,"Corbin Carroll grounds out, shortstop Nick Ahmed to first baseman Luis Arraez.",R,L,L,AZ,SD,X,ground_ball,Bot,Cutter
205,205,CH,2024-09-29,"Pérez, Martín",,blocked_ball,"Corbin Carroll grounds out, shortstop Nick Ahmed to first baseman Luis Arraez.",R,L,L,AZ,SD,B,,Bot,Changeup
206,206,SI,2024-09-29,"Pérez, Martín",,ball,"Corbin Carroll grounds out, shortstop Nick Ahmed to first baseman Luis Arraez.",R,L,L,AZ,SD,B,,Bot,Sinker
207,207,FF,2024-09-29,"Pérez, Martín",field_out,hit_into_play,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,X,fly_ball,Bot,4-Seam Fastball
208,208,CU,2024-09-29,"Pérez, Martín",,blocked_ball,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,B,,Bot,Curveball
209,209,SI,2024-09-29,"Pérez, Martín",,foul,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,S,,Bot,Sinker
210,210,FF,2024-09-29,"Pérez, Martín",,foul,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,S,,Bot,4-Seam Fastball
211,211,CH,2024-09-29,"Pérez, Martín",,foul,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,S,,Bot,Changeup
212,212,CU,2024-09-29,"Pérez, Martín",,ball,Ketel Marte flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,B,,Bot,Curveball
213,213,CH,2024-09-29,"Pérez, Martín",sac_bunt,hit_into_play,"Geraldo Perdomo out on a sacrifice bunt, pitcher Martín Pérez to first baseman Luis Arraez.   Gabriel Moreno to 2nd.",R,R,L,AZ,SD,X,ground_ball,Bot,Changeup
214,214,SI,2024-09-29,"Pérez, Martín",,foul_bunt,"Geraldo Perdomo out on a sacrifice bunt, pitcher Martín Pérez to first baseman Luis Arraez.   Gabriel Moreno to 2nd.",R,R,L,AZ,SD,S,,Bot,Sinker
215,215,FC,2024-09-29,"Pérez, Martín",walk,ball,Gabriel Moreno walks.,R,R,L,AZ,SD,B,,Bot,Cutter
216,216,SI,2024-09-29,"Pérez, Martín",,foul,Gabriel Moreno walks.,R,R,L,AZ,SD,S,,Bot,Sinker
217,217,CH,2024-09-29,"Pérez, Martín",,foul,Gabriel Moreno walks.,R,R,L,AZ,SD,S,,Bot,Changeup
218,218,SI,2024-09-29,"Pérez, Martín",,ball,Gabriel Moreno walks.,R,R,L,AZ,SD,B,,Bot,Sinker
219,219,FC,2024-09-29,"Pérez, Martín",,foul,Gabriel Moreno walks.,R,R,L,AZ,SD,S,,Bot,Cutter
220,220,CH,2024-09-29,"Pérez, Martín",,called_strike,Gabriel Moreno walks.,R,R,L,AZ,SD,S,,Bot,Changeup
221,221,SI,2024-09-29,"Pérez, Martín",,ball,Gabriel Moreno walks.,R,R,L,AZ,SD,B,,Bot,Sinker
222,222,FC,2024-09-29,"Pérez, Martín",,ball,Gabriel Moreno walks.,R,R,L,AZ,SD,B,,Bot,Cutter
223,223,SI,2024-09-29,"Pérez, Martín",,called_strike,Gabriel Moreno walks.,R,R,L,AZ,SD,S,,Bot,Sinker
224,224,ST,2024-09-29,"Pfaadt, Brandon",strikeout,foul_tip,Fernando Tatis Jr.  strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,Sweeper
225,225,SI,2024-09-29,"Pfaadt, Brandon",,ball,Fernando Tatis Jr.  strikes out on a foul tip.,R,R,R,AZ,SD,B,,Top,Sinker
226,226,SI,2024-09-29,"Pfaadt, Brandon",,called_strike,Fernando Tatis Jr.  strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,Sinker
227,227,FF,2024-09-29,"Pfaadt, Brandon",,foul,Fernando Tatis Jr.  strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,4-Seam Fastball
228,228,FF,2024-09-29,"Pfaadt, Brandon",field_out,hit_into_play,Luis Arraez flies out to center fielder Jake McCarthy.,R,L,R,AZ,SD,X,fly_ball,Top,4-Seam Fastball
229,229,SI,2024-09-29,"Pfaadt, Brandon",strikeout,called_strike,Brandon Lockridge called out on strikes.,R,R,R,AZ,SD,S,,Top,Sinker
230,230,ST,2024-09-29,"Pfaadt, Brandon",,ball,Brandon Lockridge called out on strikes.,R,R,R,AZ,SD,B,,Top,Sweeper
231,231,SI,2024-09-29,"Pfaadt, Brandon",,called_strike,Brandon Lockridge called out on strikes.,R,R,R,AZ,SD,S,,Top,Sinker
232,232,SI,2024-09-29,"Pfaadt, Brandon",,called_strike,Brandon Lockridge called out on strikes.,R,R,R,AZ,SD,S,,Top,Sinker
233,233,SI,2024-09-29,"Pfaadt, Brandon",,ball,Brandon Lockridge called out on strikes.,R,R,R,AZ,SD,B,,Top,Sinker
234,234,FC,2024-09-29,"Pérez, Martín",strikeout,swinging_strike,Jake McCarthy strikes out swinging.,R,L,L,AZ,SD,S,,Bot,Cutter
235,235,FC,2024-09-29,"Pérez, Martín",,swinging_strike,Jake McCarthy strikes out swinging.,R,L,L,AZ,SD,S,,Bot,Cutter
236,236,SI,2024-09-29,"Pérez, Martín",,called_strike,Jake McCarthy strikes out swinging.,R,L,L,AZ,SD,S,,Bot,Sinker
237,237,SI,2024-09-29,"Pérez, Martín",strikeout,called_strike,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,S,,Bot,Sinker
238,238,FC,2024-09-29,"Pérez, Martín",,swinging_strike,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,S,,Bot,Cutter
239,239,CH,2024-09-29,"Pérez, Martín",,called_strike,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,S,,Bot,Changeup
240,240,CH,2024-09-29,"Pérez, Martín",,ball,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,B,,Bot,Changeup
241,241,FF,2024-09-29,"Pérez, Martín",,ball,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,B,,Bot,4-Seam Fastball
242,242,SI,2024-09-29,"Pérez, Martín",,ball,Eugenio Suárez called out on strikes.,R,R,L,AZ,SD,B,,Bot,Sinker
243,243,SI,2024-09-29,"Pérez, Martín",field_out,hit_into_play,Randal Grichuk flies out to center fielder Jackson Merrill.,R,R,L,AZ,SD,X,fly_ball,Bot,Sinker
244,244,CH,2024-09-29,"Pfaadt, Brandon",field_out,hit_into_play,Tyler Wade flies out to center fielder Jake McCarthy.,R,L,R,AZ,SD,X,fly_ball,Top,Changeup
245,245,CU,2024-09-29,"Pfaadt, Brandon",,called_strike,Tyler Wade flies out to center fielder Jake McCarthy.,R,L,R,AZ,SD,S,,Top,Curveball
246,246,CH,2024-09-29,"Pfaadt, Brandon",,blocked_ball,Tyler Wade flies out to center fielder Jake McCarthy.,R,L,R,AZ,SD,B,,Top,Changeup
247,247,FF,2024-09-29,"Pfaadt, Brandon",,ball,Tyler Wade flies out to center fielder Jake McCarthy.,R,L,R,AZ,SD,B,,Top,4-Seam Fastball
248,248,CU,2024-09-29,"Pfaadt, Brandon",double,hit_into_play,Elias Díaz doubles (20) on a line drive to left fielder Lourdes Gurriel Jr.  Nick Ahmed scores.,R,R,R,AZ,SD,X,line_drive,Top,Curveball
249,249,SI,2024-09-29,"Pfaadt, Brandon",,foul,Elias Díaz doubles (20) on a line drive to left fielder Lourdes Gurriel Jr.  Nick Ahmed scores.,R,R,R,AZ,SD,S,,Top,Sinker
